編號,更多資料,學名,中文名,中文別名,英文名,英文別名,科,習性,search_term
2407,進入,Sansevieria trifasciata,虎尾蘭,沒資料,Snake_Plant,NoInfo,AGAVACEAE龍舌蘭科,草本,Sansevieria trifasciata
2409,進入,Spathiphyllum floribundum,白鶴芋,沒資料,Snow Flower,NoInfo,ARACEAE天南星科,草本,Spathiphyllum floribundum
2462,進入,Philodendron xanadu,佛手蔓綠絨,沒資料,NoInfo,NoInfo,ARACEAE天南星科,草本,Philodendron xanadu
2531,進入,Anthurium andraeanum Linden,花燭,沒資料,Flamingo-lily,Oil-cloth_Flower,ARACEAE天南星科,草本,Anthurium andraeanum Linden
2555,進入,Syngonium podophyllum,合果芋,長柄合果芋,African_Evergreen,Syngonium,ARACEAE天南星科,草本,Syngonium podophyllum
2708,進入,Echinodorus grandiflorus,長象耳草(香港沒收錄),大花皇冠,NoInfo,NoInfo,ALISMATACEAE澤瀉科,多年水生草本,Echinodorus grandiflorus
2710,進入,Allamanda violacea,紫蟬,紫花黃蟬,NoInfo,NoInfo,APOCYNACEAE夾竹桃科,藤本,Allamanda violacea
2770,進入,Strophanthus divaricatus,羊角拗,羊角藤_羊角樹_羊角捩,NoInfo,NoInfo,APOCYNACEAE夾竹桃科,木質藤本,Strophanthus divaricatus
3037,進入,Alternanthera philoxeroides,空心蓮子草,空心莧,Alligator-weed,NoInfo,AMARANTHACEAE莧科,草本,Alternanthera philoxeroides
3052,進入,Celosia argentea var. cristata,雞冠花,沒資料,Cockscomb,NoInfo,AMARANTHACEAE莧科,草本,Celosia argentea var. cristata
3076,進入,Caladium bicolor (Ait.) Vent.,彩葉芋,花葉芋,NoInfo,NoInfo,ARACEAE天南星科,草本,Caladium bicolor aiton vent
3108,進入,Celosia argentea var. plumosa,鳳尾球,沒資料,Feather Celosia,Wool-flower,AMARANTHACEAE莧科,草本,Celosia argentea var. plumosa
3364,進入,Epipremnum aureum,綠蘿,芋葉藤_黃金葛,Ivy-arum,NoInfo,ARACEAE天南星科,攀援,Epipremnum aureum
3392,進入,Philodendron bipinnatifidum Schott ex Endl.,裂葉喜樹蕉,沒資料,Dissected-leaf Philodendron,Philodendron,ARACEAE天南星科,草本,Philodendron bipinnatifidum Schott ex Endl
3465,進入,Ilex pubescens,毛冬青(雄花),沒資料,Downy_Holly,NoInfo,AQUIFOLIACEAE冬青科,灌木,Ilex pubescens
3467,進入,Ilex asprella,梅葉冬青(雄花),崗梅_點秤星,Rough-leaved_Holly,Plum-leaved_Holly,AQUIFOLIACEAE冬青科,灌木,Ilex asprella
